timestamp_utc,coin_id,price_usd,total_volume_usd,social_volume_2025_04_04
2025-04-04 06:09:40,whitebit,27.613472993188783,29019618.157678824,
2025-04-04 07:04:53,whitebit,27.63429988874879,26167987.79180376,
2025-04-04 08:09:35,whitebit,27.78914529943235,36053994.92017437,
2025-04-04 09:09:33,whitebit,27.7542551411871,32562645.13976629,
2025-04-04 10:09:04,whitebit,27.827732820381588,33057227.971708614,
2025-04-04 11:09:41,whitebit,27.6401287340128,25450471.64809246,
2025-04-04 12:09:32,whitebit,27.64762888668901,41670485.5628198,
2025-04-04 13:09:54,whitebit,27.769187383948797,43318480.806422114,
2025-04-04 14:09:49,whitebit,27.64077880571944,43894976.25245047,
2025-04-04 15:10:35,whitebit,27.54646196916361,36413675.96878381,
2025-04-04 16:09:43,whitebit,27.541054501019858,42173815.31747911,
2025-04-04 17:09:32,whitebit,27.580325431641207,43921421.32015056,
2025-04-04 18:09:45,whitebit,27.55201212754741,45026059.02969627,
2025-04-04 19:09:39,whitebit,27.58459218453857,50673296.51177614,
2025-04-04 20:08:50,whitebit,27.607759666764057,41634073.734326586,
2025-04-03 21:05:08,coinbase-wrapped-btc,82338.04607625441,340195494.11794007,3.0
2025-04-03 22:04:43,coinbase-wrapped-btc,82650.9180315963,312540883.3547179,3.0
2025-04-03 23:06:35,coinbase-wrapped-btc,82636.37359607712,280304204.01215816,3.0
2025-04-04 00:06:39,coinbase-wrapped-btc,83207.80390073659,273626945.46573144,3.0
2025-04-04 01:04:43,coinbase-wrapped-btc,83078.57844515567,262912480.95129585,3.0
2025-04-04 02:06:52,coinbase-wrapped-btc,83032.18804814744,262874692.8660972,3.0
2025-04-04 03:04:50,coinbase-wrapped-btc,82861.79302893252,258433507.88639924,3.0
2025-04-04 04:04:45,coinbase-wrapped-btc,82741.04570577326,260889163.5307685,3.0
2025-04-04 05:04:32,coinbase-wrapped-btc,82697.58317931827,258658970.86404613,3.0
2025-04-04 06:09:05,coinbase-wrapped-btc,83177.16621387305,259590327.5010722,3.0
2025-04-04 07:04:31,coinbase-wrapped-btc,82977.335472864,254119606.4259609,3.0
2025-04-04 08:04:32,coinbase-wrapped-btc,84009.96092468436,255186314.19714215,3.0
2025-04-04 09:04:36,coinbase-wrapped-btc,84443.12519609202,262171507.789096,3.0
2025-04-04 10:04:43,coinbase-wrapped-btc,84629.70347930145,262786644.3676087,3.0
2025-04-04 11:04:50,coinbase-wrapped-btc,82607.565330113,274823086.2873886,3.0
2025-04-04 12:01:54,coinbase-wrapped-btc,82567.17331925311,284599775.6600449,3.0
2025-04-04 13:09:30,coinbase-wrapped-btc,83209.41081611179,288273374.88423485,3.0
2025-04-04 14:09:23,coinbase-wrapped-btc,83103.36484288964,293087426.8378862,3.0
2025-04-04 15:09:40,coinbase-wrapped-btc,83092.75554558026,304042822.6363782,3.0
2025-04-04 16:04:47,coinbase-wrapped-btc,82924.60532846896,319801965.7919327,3.0
2025-04-04 17:01:47,coinbase-wrapped-btc,83377.16146802243,329542119.8025416,3.0
2025-04-04 18:08:57,coinbase-wrapped-btc,84258.39290322317,347203564.4124472,3.0
2025-04-04 19:04:51,coinbase-wrapped-btc,83870.79125846544,338292454.507332,3.0
2025-04-04 20:04:26,coinbase-wrapped-btc,84006.03359905878,357256776.5208863,3.0
2025-04-03 21:04:47,aave,151.23922272190356,305318586.1213914,26.0
2025-04-03 22:04:09,aave,152.44207205680564,296405985.07885224,26.0
2025-04-03 23:00:15,aave,151.14460483694938,279164720.29405314,26.0
2025-04-04 00:04:42,aave,151.37158248886394,263988503.3020472,26.0
2025-04-04 01:04:24,aave,149.97531223609553,258411187.63238853,26.0
2025-04-04 02:02:36,aave,148.30031577785644,257723082.7053137,26.0
2025-04-04 03:04:33,aave,149.10753001937312,252231880.5276932,26.0
2025-04-04 04:04:48,aave,148.90741303218164,250940577.81707755,26.0
2025-04-04 05:04:41,aave,148.37934445916926,248520558.43111423,26.0
