timestamp_utc,coin_id,price_usd,error,total_volume_usd,hourly_increase,price-soc correlation,price-pop,predicted_social_volume
2025-05-28 15:00:00,aave,215.34024883545956,0.01844750218551592,356910325.39560026,-0.003796246106597323,0.5,0.5,0.00039879343239590526
2025-05-28 16:00:00,aave,215.3399759544661,0.014248801151456863,356910325.39560026,-0.0002728809934609444,0.5,0.5,0.00039879343239590526
2025-05-28 17:00:00,aave,215.34391558604827,0.017835257541552248,356910325.39560026,0.003939631582204015,0.5,0.5,0.00039879343239590526
2025-05-28 18:00:00,aave,215.33798291902417,0.012412564616854397,356910325.39560026,-0.005932667024127909,0.5,0.5,0.00039879343239590526
2025-05-28 19:00:00,aave,215.3412846477694,0.0164193192102448,356910325.39560026,0.0033017287452702247,0.5,0.5,0.00039879343239590526
2025-05-28 20:00:00,aave,215.34068961047305,0.016645238392010663,356910325.39560026,-0.0005950372963741302,0.5,0.5,0.00039879343239590526
2025-05-28 21:00:00,aave,215.33919829508798,0.013888608710179082,356910325.39560026,-0.0014913153850727666,0.5,0.5,0.00039879343239590526
2025-05-28 22:00:00,aave,215.3405424964963,0.017589595507886368,356910325.39560026,0.0013442014082943388,0.5,0.5,0.00039879343239590526
2025-05-28 23:00:00,aave,215.34174576864913,0.01666389336599987,356910325.39560026,0.0012032721527930335,0.5,0.5,0.00039879343239590526
2025-05-28 00:00:00,aptos,6.1568054697432375,0.0003891946663696556,190393968.72427225,0.00014403942329396457,0.5,1.0,0.0005214990233071148
2025-05-28 01:00:00,aptos,6.1567930761306116,0.0004189984080108956,190393968.72427225,-1.2393612627459306e-05,0.5,1.0,0.0005214990233071148
2025-05-28 02:00:00,aptos,6.156714489503652,0.0005184512882150958,190393968.72427225,-7.85866269599289e-05,0.5,1.0,0.0005214990233071148
2025-05-28 03:00:00,aptos,6.156658894081465,0.00046954688814560686,190393968.72427225,-5.55954221855437e-05,0.5,1.0,0.0005214990233071148
2025-05-28 04:00:00,aptos,6.156672685174147,0.0004832762395453008,190393968.72427225,1.3791092681376681e-05,0.5,1.0,0.0005214990233071148
2025-05-28 05:00:00,aptos,6.156717317104682,0.00046687846003271044,190393968.72427225,4.463193053508619e-05,0.5,1.0,0.0005214990233071148
2025-05-28 06:00:00,aptos,6.156836723151308,0.00045890381489673666,190393968.72427225,0.00011940604662717291,0.5,1.0,0.0005214990233071148
2025-05-28 07:00:00,aptos,6.15671168442196,0.0004367604295422527,190393968.72427225,-0.0001250387293499955,0.5,1.0,0.0005214990233071148
2025-05-28 08:00:00,aptos,6.15667205452751,0.00037254452581077376,190393968.72427225,-3.9629894449042525e-05,0.5,1.0,0.0005214990233071148
2025-05-28 09:00:00,aptos,6.156724682700725,0.0004230277512365405,190393968.72427225,5.262817321508351e-05,0.5,1.0,0.0005214990233071148
2025-05-28 10:00:00,aptos,6.156646004059238,0.000479335596095317,190393968.72427225,-7.86786414861318e-05,0.5,1.0,0.0005214990233071148
