timestamp_utc,coin_id,price_usd,total_volume_usd,hourly_increase,price-soc correlation,price-pop
2025-05-24 21:00:00,monero,350.98438,95417576.06073062,-0.00036621094,0.0,0.0
2025-05-24 22:00:00,monero,350.98395,95417576.06073062,-0.0004272461,0.0,0.0
2025-05-24 23:00:00,monero,350.98395,95417576.06073062,0.0,0.0,0.0
2025-05-24 21:00:00,near,3.3315454,308749697.1186677,-0.00040507317,0.0,0.3430591694302886
2025-05-24 22:00:00,near,3.3195784,308749697.1186677,-0.011966944,0.0,0.3430591694302886
2025-05-24 23:00:00,near,3.3003564,308749697.1186677,-0.019222021,0.0,0.3430591694302886
2025-05-24 21:00:00,okb,53.591106,13454059.02896096,-0.00032043457,0.0,-0.8251733143610236
2025-05-24 22:00:00,okb,53.552532,13454059.02896096,-0.03857422,0.0,-0.8251733143610236
2025-05-24 23:00:00,okb,53.5193,13454059.02896096,-0.033233643,0.0,-0.8251733143610236
2025-05-24 21:00:00,ondo-finance,1.3273876,299848444.307452,-0.00035738945,0.0,0.3060540504862645
2025-05-24 22:00:00,ondo-finance,1.3273876,299848444.307452,0.0,0.0,0.3060540504862645
2025-05-24 23:00:00,ondo-finance,1.3273876,299848444.307452,0.0,0.0,0.3060540504862645
2025-05-24 21:00:00,pepe,9.820612e-06,2287664757.5246835,-5.506946e-06,0.0,0.6920397884608949
2025-05-24 22:00:00,pepe,9.820612e-06,2287664757.5246835,0.0,0.0,0.6920397884608949
2025-05-24 23:00:00,pepe,9.820612e-06,2287664757.5246835,0.0,0.0,0.6920397884608949
2025-05-24 21:00:00,pi-network,0.5379001,712082070.8216032,5.2511692e-05,0.0,0.0
2025-05-24 22:00:00,pi-network,0.5379001,712082070.8216032,0.0,0.0,0.0
2025-05-24 23:00:00,pi-network,0.5379001,712082070.8216032,0.0,0.0,0.0
2025-05-24 21:00:00,ripple,2.2805161,4101513612.956662,0.0,0.0,0.0
2025-05-24 22:00:00,ripple,2.2805161,4101513612.956662,0.0,0.0,0.0
2025-05-24 23:00:00,ripple,2.2805161,4101513612.956662,0.0,0.0,0.0
2025-05-24 21:00:00,shiba-inu,1.5959859e-05,617529886.7664989,-8.552888e-09,0.0,0.0
2025-05-24 22:00:00,shiba-inu,1.5959859e-05,617529886.7664989,0.0,0.0,0.0
2025-05-24 23:00:00,shiba-inu,1.5959859e-05,617529886.7664989,0.0,0.0,0.0
2025-05-24 21:00:00,solana,182.21506,7811920135.326395,-0.00019836426,0.0,0.0
2025-05-24 22:00:00,solana,182.21506,7811920135.326395,0.0,0.0,0.0
2025-05-24 23:00:00,solana,182.21506,7811920135.326395,0.0,0.0,0.0
2025-05-24 21:00:00,staked-ether,1797.0736,24487319.61200076,0.0,0.0,0.0
2025-05-24 22:00:00,staked-ether,1797.0736,24487319.61200076,0.0,0.0,0.0
2025-05-24 23:00:00,staked-ether,1797.0736,24487319.61200076,0.0,0.0,0.0
