timestamp_utc,coin_id,price_usd,total_volume_usd,social_volume_2025_04_02,sentiment_2025_04_02
2025-04-02 08:00:00,bitcoin-cash,305.7291904833534,130483009.04119626,101.0,-7.072032153606
2025-04-02 09:00:00,bitcoin-cash,304.3835333353634,161098114.81069046,101.0,-7.072032153606
2025-04-02 10:00:00,bitcoin-cash,306.09037169646297,161501127.1034575,101.0,-7.072032153606
2025-04-02 11:00:00,bitcoin-cash,305.2915078622547,158802810.58988684,101.0,-7.072032153606
2025-04-02 12:00:00,bitcoin-cash,305.34528034282414,158433738.5288524,101.0,-7.072032153606
2025-04-02 13:00:00,bitcoin-cash,306.1423289400205,159304624.79671597,101.0,-7.072032153606
2025-04-02 14:00:00,bitcoin-cash,306.1046355551473,164240113.261656,101.0,-7.072032153606
2025-04-02 15:00:00,bitcoin-cash,307.2218918677792,159330836.9664231,101.0,-7.072032153606
2025-04-02 16:00:00,bitcoin-cash,310.82526448835483,168485820.45866942,101.0,-7.072032153606
2025-04-02 17:00:00,bitcoin-cash,312.267589541363,183333833.1490176,101.0,-7.072032153606
2025-04-02 18:00:00,bitcoin-cash,308.47410884808784,184770794.283356,101.0,-7.072032153606
2025-04-02 19:00:00,bitcoin-cash,309.9988666301266,178056031.26232088,101.0,-7.072032153606
2025-04-02 20:00:00,bitcoin-cash,309.9988666301266,178056031.26232088,101.0,-7.072032153606
2025-04-02 21:00:00,bitcoin-cash,309.9988666301266,178056031.26232088,101.0,-7.072032153606
2025-04-02 22:00:00,bitcoin-cash,309.9988666301266,178056031.26232088,101.0,-7.072032153606
2025-04-02 23:00:00,bitcoin-cash,309.9988666301266,178056031.26232088,101.0,-7.072032153606
2025-04-02 00:00:00,hyperliquid,13.30689604485924,78003145.280138,162.0,42.113546013832
2025-04-02 01:00:00,hyperliquid,13.109358401362831,78189109.91142735,162.0,42.113546013832
2025-04-02 02:00:00,hyperliquid,13.223864773690048,78917724.16177951,162.0,42.113546013832
2025-04-02 03:00:00,hyperliquid,13.148287098290414,78673672.47747155,162.0,42.113546013832
2025-04-02 04:00:00,hyperliquid,13.199497775215272,77053241.01302512,162.0,42.113546013832
2025-04-02 05:00:00,hyperliquid,13.24127712385164,75287159.94122742,162.0,42.113546013832
2025-04-02 06:00:00,hyperliquid,13.063115836083838,75717914.16753806,162.0,42.113546013832
2025-04-02 07:00:00,hyperliquid,12.973478140053055,76440932.12856075,162.0,42.113546013832
2025-04-02 08:00:00,hyperliquid,13.17935131940894,77813933.78593133,162.0,42.113546013832
2025-04-02 09:00:00,hyperliquid,13.393895907727536,75676980.61825499,162.0,42.113546013832
2025-04-02 10:00:00,hyperliquid,13.456298862751416,75014514.43544194,162.0,42.113546013832
2025-04-02 11:00:00,hyperliquid,13.465940922774768,73364609.26270275,162.0,42.113546013832
2025-04-02 12:00:00,hyperliquid,13.683331257341209,65815927.59838883,162.0,42.113546013832
2025-04-02 13:00:00,hyperliquid,13.49539564415313,73531467.07961647,162.0,42.113546013832
2025-04-02 14:00:00,hyperliquid,13.502932344449912,77194114.18559186,162.0,42.113546013832
2025-04-02 15:00:00,hyperliquid,13.45776396704374,76648851.11691706,162.0,42.113546013832
2025-04-02 16:00:00,hyperliquid,14.135069908269136,85487446.66041116,162.0,42.113546013832
2025-04-02 17:00:00,hyperliquid,14.070857170870532,86155784.65786202,162.0,42.113546013832
2025-04-02 18:00:00,hyperliquid,13.814000404562217,88243015.60425691,162.0,42.113546013832
2025-04-02 19:00:00,hyperliquid,13.74351993619902,86523432.74425058,162.0,42.113546013832
2025-04-02 20:00:00,hyperliquid,13.74351993619902,86523432.74425058,162.0,42.113546013832
2025-04-02 21:00:00,hyperliquid,13.74351993619902,86523432.74425058,162.0,42.113546013832
2025-04-02 22:00:00,hyperliquid,13.74351993619902,86523432.74425058,162.0,42.113546013832
2025-04-02 23:00:00,hyperliquid,13.74351993619902,86523432.74425058,162.0,42.113546013832
2025-04-02 00:00:00,leo-token,9.21058695707856,3387453.25421768,5.0,2.451776087284
2025-04-02 01:00:00,leo-token,9.29099871117969,3415372.202269197,5.0,2.451776087284
2025-04-02 02:00:00,leo-token,9.426926690879618,3526592.152428243,5.0,2.451776087284
2025-04-02 03:00:00,leo-token,9.409986923814174,3520433.837497524,5.0,2.451776087284
